Date,Time,Open,High,Low,Close,Volume,Amount
2020-10-23,940.0,71.07,71.07,71.06,71.06,3500.0,243348.0
2020-10-23,945.0,71.27,71.41,71.27,71.41,2700.0,192675.0
2020-10-23,950.0,71.41,71.41,71.41,71.41,0.0,0.0
2020-10-23,955.0,71.23,71.25,71.22,71.25,3400.0,245835.0
2020-10-23,1000.0,71.25,71.25,71.25,71.25,0.0,0.0
2020-10-23,1005.0,71.25,71.25,71.1,71.1,5200.0,369756.0
2020-10-23,1010.0,71.1,71.1,71.1,71.1,0.0,0.0
2020-10-23,1015.0,71.09,71.09,71.09,71.09,200.0,14218.0
2020-10-23,1020.0,71.06,71.06,70.99,70.99,9300.0,661141.0
2020-10-23,1025.0,70.9,70.9,70.66,70.7,5300.0,377121.0
2020-10-23,1030.0,70.71,70.81,70.43,70.67,11600.0,815060.0
2020-10-23,1035.0,70.62,70.62,70.62,70.62,1200.0,87357.0
2020-10-23,1040.0,70.5,70.62,70.5,70.62,2600.0,182714.0
2020-10-23,1045.0,70.62,70.62,70.52,70.52,1500.0,106494.0
2020-10-23,1050.0,70.54,70.62,70.54,70.62,800.0,52073.0
2020-10-23,1055.0,70.68,70.68,70.52,70.52,4700.0,332358.0
2020-10-23,1100.0,70.51,70.53,70.51,70.53,3200.0,225785.0
2020-10-23,1105.0,70.54,70.55,70.53,70.55,1500.0,103475.0
2020-10-23,1110.0,70.52,70.67,70.52,70.67,2100.0,148196.0
2020-10-23,1115.0,71.01,71.01,71.01,71.01,200.0,14202.0
2020-10-23,1120.0,71.01,71.01,71.01,71.01,0.0,0.0
2020-10-23,1125.0,70.59,70.59,70.57,70.57,800.0,56467.0
2020-10-23,1130.0,70.91,70.91,70.89,70.89,1300.0,91831.0
2020-10-23,1305.0,70.58,70.89,70.58,70.89,1100.0,81816.0
2020-10-23,1310.0,70.87,70.87,70.87,70.87,200.0,14174.0
2020-10-23,1315.0,70.87,70.87,70.87,70.87,0.0,0.0
2020-10-23,1320.0,70.86,70.86,70.8,70.8,1900.0,133552.0
2020-10-23,1325.0,70.8,70.8,70.8,70.8,5700.0,404627.0
2020-10-23,1330.0,70.61,70.62,70.61,70.61,1600.0,112984.0
2020-10-23,1335.0,70.79,70.79,70.61,70.61,1100.0,74085.0
2020-10-23,1340.0,70.6,70.6,70.58,70.58,800.0,56470.0
2020-10-23,1345.0,70.57,70.57,70.56,70.56,600.0,42338.0
2020-10-23,1350.0,70.56,70.56,70.47,70.47,1000.0,70577.0
2020-10-23,1355.0,70.49,70.49,70.47,70.47,800.0,59140.0
2020-10-23,1400.0,70.45,70.64,70.21,70.64,5700.0,404182.0
2020-10-23,1405.0,70.24,70.24,70.23,70.24,800.0,56190.0
2020-10-23,1410.0,70.0,70.03,70.0,70.03,7100.0,491276.0
2020-10-23,1415.0,70.15,70.38,70.0,70.36,4500.0,315599.0
2020-10-23,1420.0,70.36,70.4,70.13,70.4,1600.0,112422.0
2020-10-23,1425.0,70.58,70.65,70.58,70.65,800.0,56478.0
2020-10-23,1430.0,70.42,70.42,70.17,70.17,6600.0,465696.0
2020-10-23,1435.0,70.44,70.44,70.08,70.08,5400.0,380382.0
2020-10-23,1440.0,70.33,70.33,70.33,70.33,900.0,63370.0
2020-10-23,1445.0,70.36,70.56,70.1,70.25,4000.0,281745.0
2020-10-23,1450.0,70.25,70.58,70.08,70.08,5600.0,389768.0
2020-10-23,1455.0,70.32,70.61,70.08,70.32,4300.0,305859.0
