Date,Open,High,Low,Close,Volume,Amount
2016-12-26,7.15,7.15,7.15,7.15,6048,45602.00
2016-12-27,7.90,7.90,7.90,7.90,9400,77926.00
2016-12-28,8.73,8.73,8.73,8.73,16869,153845.00
2016-12-29,9.64,9.64,9.64,9.64,22069,221352.00
2016-12-30,10.64,10.64,10.64,10.64,56378,621849.00
2017-01-03,11.74,11.74,11.74,11.74,48232,585054.00
2017-01-04,12.95,12.95,12.95,12.95,44417,592523.00
2017-01-05,14.28,14.28,14.28,14.28,74453,1092226.00
2017-01-06,15.75,15.75,15.75,15.75,218400,3524976.00
2017-01-09,17.36,17.36,17.36,17.36,197733,3509761.00
2017-01-10,19.14,19.14,19.14,19.14,196761,3842742.00
2017-01-11,21.09,21.09,21.09,21.09,784223,16845110.00
2017-01-12,23.21,23.24,23.01,23.24,11357624,268285696.00
2017-01-13,23.23,24.16,20.88,21.29,28944216,643428736.00
2017-01-16,20.49,21.41,19.12,19.31,19007346,388767648.00
2017-01-17,19.53,20.49,18.21,19.79,18252463,361091232.00
2017-01-18,19.38,19.65,18.81,19.05,12370650,241611648.00
2017-01-19,17.91,19.31,17.77,18.30,8999901,170570144.00
2017-01-20,18.31,20.08,18.12,19.22,9860566,192360272.00
2017-01-23,19.31,20.21,19.14,19.73,11759269,237960448.00
2017-01-24,19.46,20.30,19.43,20.06,7407379,150123360.00
2017-01-25,19.76,22.11,19.75,22.11,15433774,339369216.00
2017-01-26,22.31,24.36,21.51,23.75,13659493,321374464.00
2017-02-03,23.41,26.16,23.27,26.16,11708474,296950176.00
2017-02-06,26.86,28.66,24.79,27.86,12444399,338330528.00
2017-02-07,27.49,27.79,26.29,26.55,9357642,255021600.00
2017-02-08,26.31,26.69,25.25,26.44,6606729,174258528.00
2017-02-09,26.01,27.41,25.79,26.22,6584227,177392352.00
2017-02-10,26.02,26.03,24.49,25.17,5686587,145332512.00
2017-02-13,25.21,25.89,24.51,25.46,4940940,127114536.00
2017-02-14,25.38,27.13,25.11,26.56,8099090,216108784.00
2017-02-15,26.12,27.96,25.92,26.09,7671851,208839920.00
2017-02-16,25.34,25.51,23.86,24.45,6457337,161515200.00
2017-02-17,23.96,24.79,23.65,24.05,3196376,78522368.00
2017-02-20,23.89,24.41,22.42,23.31,3721661,87562728.00
2017-02-21,23.31,24.49,23.11,24.21,3358700,81640824.00
2017-02-22,24.21,24.56,23.46,24.03,2764242,67307200.00
2017-02-23,24.06,25.09,23.67,24.85,4189193,104872640.00
2017-02-24,24.68,26.57,24.61,25.74,5325033,139560016.00
2017-02-27,25.29,27.47,25.29,27.02,5599396,151443824.00
2017-02-28,26.81,27.63,24.64,26.13,6433327,170028304.00
2017-03-01,25.87,25.91,25.21,25.50,3806986,98651304.00
2017-03-02,25.50,26.41,25.21,26.02,4472723,118327792.00
2017-03-03,25.99,25.99,25.24,25.72,2691184,69729056.00
2017-03-06,25.76,26.29,25.46,26.11,3245758,85591896.00
2017-03-07,26.36,27.42,26.11,27.26,6489590,177440544.00
2017-03-08,27.26,30.03,27.26,30.03,10181451,299379904.00
2017-03-09,28.81,30.45,27.26,29.60,9041048,263279424.00
2017-03-10,28.81,29.59,27.66,27.93,5321920,154947344.00
2017-03-13,28.21,29.12,27.11,28.86,4737621,135391104.00
2017-03-14,28.82,31.11,28.16,30.94,8330070,249397360.00
2017-03-15,30.50,31.06,29.69,30.12,6110841,187530624.00
2017-03-16,29.71,32.11,28.74,31.52,7408343,232109296.00
2017-03-17,30.96,32.54,29.61,29.81,6751339,213563696.00
2017-03-20,29.61,30.53,28.46,30.39,3783567,113929224.00
2017-03-21,30.06,30.92,29.95,30.57,3408386,104857392.00
2017-03-22,30.21,31.38,30.01,31.03,5082638,158078272.00
2017-03-23,30.81,30.93,29.11,30.06,3513917,107655736.00
2017-03-24,30.10,30.38,29.74,30.08,2429507,73988744.00
2017-03-27,30.06,30.59,29.31,29.75,1929478,58437400.00
2017-03-28,29.75,30.07,28.56,28.58,3317071,97650960.00
2017-03-29,28.58,28.68,26.31,26.39,3683750,101543872.00
2017-03-30,26.11,26.11,24.68,25.12,2369349,61059256.00
2017-03-31,25.10,25.65,24.48,24.70,1812779,46096984.00
2017-04-05,24.24,25.61,23.80,25.58,2422999,61575696.00
2017-04-06,25.62,27.36,25.41,26.29,2833615,76163992.00
2017-04-07,26.08,26.57,25.12,25.35,2296169,59985328.00
2017-04-10,25.21,25.25,23.11,23.15,2282138,55457536.00
2017-04-11,23.02,25.50,22.91,25.50,2282934,57898144.00
2017-04-12,26.65,27.01,24.91,25.47,4123000,109147504.00
2017-04-13,26.06,26.11,24.90,25.02,3655617,94043096.00
2017-04-14,24.76,25.20,24.06,24.41,2582848,64163860.00
2017-04-17,23.11,23.45,21.93,21.93,2214987,50093908.00
2017-04-18,21.86,22.67,21.16,21.78,1586700,35704176.00
2017-04-19,21.14,22.83,21.14,22.62,1753736,39481760.00
